,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
accessibility,0.09038447290939206,0.019455703807040724,0.017326248169163595,0.02752834009100314,-0.004504896349856287,0.0015366002757212353
accessible,-0.0015019227777681035,-0.016307137042844703,0.0008390893011536016,0.0015096660788923599,0.0015961372002535877,9.344814244306551e-05
accessory,-0.014559748920101118,0.022169596427239868,-0.016880153922487904,0.004636558323969196,0.0006504549407507355,-0.0007978640821484543
accuracy,0.004695646714381668,-0.028037911368847517,0.004572613926556076,0.0033966542377944875,0.0022227270432671,0.0003438468861802678
accurate,0.07747756908045277,0.024132528823159874,0.016865847705176275,0.02016511290205069,-0.005052632036664639,0.0013363823731155778
adaptability,0.11209838514047242,-0.04401085089134971,0.012284352826068004,0.056400027702670295,0.0035543382809633908,0.0020008796122723254
adaptable,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
adapter,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
adequate,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
aesthetic,0.0050503461814058416,0.025436304854282367,-0.004310842667083584,0.0020689919269817362,-0.0018937811910008282,-0.0002001818503283991
affordability,0.006803314123696516,-0.07687692555272425,-0.0037464755251113476,0.022184776223810272,0.009122084103050165,0.0003877548966236001
affordable,0.0051859258699792216,-0.03789680241360535,0.00406746071962918,0.006061316256752019,0.0033934764877124,0.0003880629796181671
ai,0.047421403676055074,-0.05900001871066364,0.015466064951521266,0.021479091479990147,0.003939740947094002,0.0013653765383292557
ai assistant,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
airdrop,-0.00721550673039888,0.09392465674486342,-0.06821212259249138,0.0455633998302693,0.0026670520054739733,-0.0026012878162870318
algorithm,0.04639029401639149,0.002295619369455293,0.017549570836226023,0.007039978326730725,-0.0031188006265967265,0.0010846214227327794
algorithms,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
aluminum,-0.045870923810151766,0.0347487905617862,-0.053719224418826726,0.02191006914757219,0.005960863426794774,-0.0023410535823071596
amoled,-0.04987665838043195,-0.08554579703186947,-0.07382587747581923,0.0628776891775032,0.02279098714803447,-0.002336733115693697
android,0.036243490692686404,-0.03660088467451782,0.016392186492433753,0.010250990818333078,0.00122251443601128,0.001132425350052464
android device,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
android interface,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
android operating system,-0.004688989281266105,-0.021502846532535008,0.0346494900018212,-0.03267707956451302,-0.004281941614792029,0.0010760665197488137
animation,0.0029193468740886254,-0.004022877089714727,0.00248261160478221,-0.00011791992386721158,-5.23851978827121e-06,0.00013117619889333604
annoying,0.030056471733790883,0.021067306597259562,0.009271013663215772,0.002863423068176323,-0.003747927666295762,0.0005358325899974905
aperture,-0.03086788474911967,-0.013218866302339611,0.01184887322784101,-0.025726248634304952,-0.0011164057505042046,3.315813915477807e-05
app,0.06205448949815923,-0.01022456075589005,-0.1234322259591354,-0.18804071289497348,-0.012146756164348611,0.0003631572798932244
appealing,0.0005869281216981368,0.019128520071226954,-0.004667029862451714,0.00124639614030605,-0.001185620898123583,-0.00023265940745946636
appearance,-0.032299856678947386,-0.04503833834546454,-0.029794252982254493,0.02088133878094144,0.010219008700847772,-0.001038936097920628
approachable,0.008308802811086192,0.012343008758038,0.035432122745500595,-0.03301487895933712,-0.007975842717974732,0.0010800458724829108
apps,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
aspirational,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
assistant,0.10786128158555125,-0.09134976166274192,0.005250412954358556,0.07022589770340783,0.009984577651889811,0.001995118140242624
attractive,0.013051722773901956,-0.03342679277570812,0.008640356595029298,0.004886173054384965,0.0021188715005779853,0.0005970422478260101
audio,-0.004563425368508563,0.005959246503916175,-0.004176172596837598,0.0005403824843325368,9.993561277541073e-05,-0.0002119736263061371
authentication,-0.006682020997543295,-7.059064474835815e-05,-0.004408459332769056,0.0007981102499299063,0.00077757626610142,-0.00021294776041516514
autofocus,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
automation,0.04011772439227279,-0.07405190140908854,0.011162382934975262,0.024730030771245286,0.006317457146168779,0.001228174630812263
autonomous,0.03723891787453816,-0.01848958757091947,0.07046462815455447,-0.04625457843654111,-0.010985906648065856,0.002638301701024169
backup,0.07185936314463909,-0.030065315120473314,0.01963764197819147,0.024863662328626305,0.00024927056412326156,0.0016386223524843572
backups,-0.019734686518182675,0.05879741525278789,0.02130087268870854,-0.043010902113896195,-0.010615659007960085,6.38635425445944e-05
bad,-0.010552748201770532,0.013138656580313303,-0.010475912901339538,0.0021841200572533287,0.0004559931299509489,-0.0005108174674113426
banking,-0.053171374927423076,-0.03814834145674827,0.01727151403771128,-0.03824021941666457,0.00034128066330272553,4.736001335676976e-05
battery,-0.00979422352609473,-0.010998908578714637,-0.005616295494417797,0.0027615851519604967,-0.007506341207337715,-0.00047249051354519367
