,factor_1,factor_2,factor_3
ai assistant,-0.0004806168651420054,0.056262374605112665,-0.09046303776321318
amoled,-0.00043364659610051844,0.08174575836265786,-0.203417802347578
autofocus,-0.02117062821955444,0.15944681632254282,-0.003986509763495465
battery capacity,-0.004866390321815428,0.05434563781081835,-0.04676136420359678
battery life,-5.808136839674814e-05,0.010948789980201124,-0.027245190952379598
biometric,-0.0034926879177747698,0.037097698477955646,-0.028620335914858727
camera,-0.00034200216418877607,0.06447006969427425,-0.16042862843382963
charging,-0.0035593940853202964,0.2380952470241299,-0.5147364370546701
chip,-0.010987793786503185,0.22899680783366355,-0.3551125783781592
chipset,-0.0001829811042120744,0.03449336225479608,-0.08583398192137565
compatibility,-0.00011403621991794471,0.008340583376207909,-0.0017735773024818175
cpu,-8.512398928398242e-05,0.013105896019947662,-0.0283703062543196
display,-0.001179981558478715,0.10756561245123064,-0.24703786906762415
durability,-0.004982521534161284,0.037525915038587696,-0.0009382277434929231
face id,-0.008050306409451627,0.08015833552411997,-0.006088913192926831
fingerprint,-0.0012889088358774635,0.01869738343753302,-0.023535115326710168
foldable,-0.00044622748343798436,0.0841173535406873,-0.20931932786811486
gpu,-0.9983770192241863,-0.026493285787045972,0.004885088030624048
graphics,-0.005472624188911061,0.041217128504747354,-0.0010305159362670267
imaging,-0.00018600716039194085,0.013604521711934726,-0.0028929236518679415
integration,-0.014118974012898699,0.8613602099357286,0.44869999550718737
magsafe,-0.01728604071349895,0.13019000333884595,-0.003255027170752235
monitor,-0.0005661297600636821,0.10671986586366217,-0.2655638777550468
oled,-8.494392070281504e-05,0.006629316190132276,-0.0029585990330808624
performance,-0.042287104257376716,0.03171887644518231,-0.06719057157025501
quickcharge,-5.29269367081962e-05,0.0038710642003007977,-0.0008231596391312525
resolution,-0.00023404199638241754,0.04411873782714714,-0.10978596163158079
security,-0.0005812952748873941,0.042515805152806896,-0.00904074254935883
sensor,-0.0002480876401102789,0.046766450984705825,-0.11637458473013886
smartphone,-0.00017080150502206618,0.02609133772518713,-0.056116538751743675
telephoto,-0.004657570358680678,0.060186495403481186,-0.06593018731839706
touch id,-0.007935651752733773,0.09288268542859948,-0.08729383927246503
touchscreen,-0.011392989666202915,0.08580642538485386,-0.002145343259004937
ui interface,-0.00023590804092027062,0.03836442645509688,-0.0866571415605069
update policy,-0.0002976357609299296,0.021769012350316568,-0.004629055841837505
usability,-0.00040710870008698046,0.076743158424184,-0.19096923124259282
user experience,-0.0004806168651420041,0.05626237460511266,-0.09046303776321318
wearable,-0.000396776312046651,0.07479542286336269,-0.1861224465864548
zoom,-0.0002356653945117216,0.04442476100915256,-0.11054747592171418
